region,offence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tasmania,Illicit drug offences,197,225,185,161,132,138,131,147,144,147,104,108,91,96
Tasmania,Miscellaneous offences,92,63,49,59,30,36,53,35,23,35,17,27,20,8
Tasmania,Offences against justice,82,91,62,99,50,20,26,28,29,24,26,23,35,15
Tasmania,Property damage and environmental pollution,275,218,215,200,157,134,102,100,99,88,116,103,93,112
Tasmania,Public order offences,698,649,623,616,380,297,238,240,183,173,125,118,104,60
Tasmania,Robbery/extortion,31,38,31,33,36,11,16,16,16,19,15,16,18,22
Tasmania,Sexual assault and related offences,14,12,18,15,19,17,8,7,17,12,4,7,15,12
Tasmania,Theft,504,579,498,385,361,297,245,206,189,176,156,123,148,181
Tasmania,Unlawful entry with intent,205,201,137,145,109,100,106,77,63,95,84,56,40,46
Tasmania,Weapons/explosives,41,44,40,59,52,40,38,44,28,37,50,67,53,57
Tasmania,All offenders,14826,14764,14178,14184,11462,10455,10793,10198,10414,10134,9780,8705,8389,7809
Tasmania,Youth offenders,2603,2561,2291,2141,1576,1344,1175,1117,1034,1047,911,856,846,888
Victoria,Abduction/harassment,57,86,75,113,77,98,98,74,107,124,130,136,135,147
Victoria,Acts intended to cause injury,2065,2205,2036,1895,1874,1769,1667,1710,1800,1853,1871,1945,1708,1909
Victoria,Dangerous/negligent acts,103,108,113,108,86,85,83,68,92,59,51,52,44,71
Victoria,Fraud/deception,242,249,132,134,180,167,122,137,122,136,141,114,132,101
Victoria,Homicide and related offences,8,3,3,12,3,0,3,10,3,7,6,3,11,10
Victoria,Illicit drug offences,262,359,303,353,382,435,441,393,442,401,481,519,382,325
Victoria,Miscellaneous offences,641,772,1055,1311,1413,1126,1045,1023,733,659,597,584,891,888
Victoria,Offences against justice,84,106,115,87,112,92,101,95,76,109,115,93,77,99
Victoria,Property damage and environmental pollution,1451,1308,1174,1061,995,905,796,842,751,745,625,527,535,663
Victoria,Public order offences,2578,2433,2067,1438,1300,1018,769,761,642,607,654,561,521,486
Victoria,Robbery/extortion,173,180,181,185,172,147,147,154,200,256,350,419,243,249
Victoria,Sexual assault and related offences,173,204,151,153,177,197,184,191,189,164,164,164,169,151
Victoria,Theft,5168,5121,4780,4529,3775,2819,1922,1719,1776,1678,1495,1323,768,933
Victoria,Unlawful entry with intent,1320,1149,1026,855,724,687,585,526,516,429,389,360,296,343
Victoria,Weapons/explosives,434,435,312,269,271,231,268,261,295,416,452,476,355,436
Victoria,All offenders,67453,76410,78139,81718,87695,83106,80933,77770,75860,77286,75996,74189,78554,74825
Victoria,Youth offenders,14757,14743,13518,12500,11537,9775,8974,8726,8280,8329,8182,7785,6531,7028
